Obs,gender,age,romance,scifi,horror,drama,family,action,mystery,comedy,sports
,F,50,n,n,n,n,y,n,n,n,n
,F,50,n,n,n,n,y,n,n,n,n
,F,50,n,n,n,n,y,n,n,n,n
,F,50,n,n,n,n,y,n,n,n,n
,F,50,n,n,n,n,y,n,n,n,n
,F,50,n,n,n,n,n,y,n,n,n
,F,50,n,n,n,n,n,n,y,n,n
,F,50,n,n,n,n,n,n,y,n,n
,F,50,n,n,n,n,n,n,y,n,n
,F,50,n,n,n,n,n,n,y,n,n
,F,50,n,n,n,n,n,n,n,y,n
,F,50,n,n,n,n,n,n,n,y,n
,F,50,n,n,n,n,n,n,n,y,n
,F,50,n,n,n,n,n,n,n,y,n
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,50,n,n,n,n,n,n,n,n,y
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,y,n,n,n,n,n,n,n,n
,F,55,n,y,n,n,n,n,n,n,n
,F,55,n,n,y,n,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,y,n,n,n,n,n
,F,55,n,n,n,n,y,n,n,n,n
,F,55,n,n,n,n,y,n,n,n,n
,F,55,n,n,n,n,y,n,n,n,n
,F,55,n,n,n,n,y,n,n,n,n
,F,55,n,n,n,n,y,n,n,n,n
,F,55,n,n,n,n,y,n,n,n,n
,F,55,n,n,n,n,n,y,n,n,n
,F,55,n,n,n,n,n,n,y,n,n
,F,55,n,n,n,n,n,n,n,y,n
,F,55,n,n,n,n,n,n,n,y,n
,F,55,n,n,n,n,n,n,n,y,n
,F,55,n,n,n,n,n,n,n,n,y
,F,55,n,n,n,n,n,n,n,n,y
,F,55,n,n,n,n,n,n,n,n,y
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,y,n,n,n,n,n,n,n,n
,F,60,n,y,n,n,n,n,n,n,n
,F,60,n,n,y,n,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,y,n,n,n,n,n
,F,60,n,n,n,n,y,n,n,n,n
,F,60,n,n,n,n,y,n,n,n,n
,F,60,n,n,n,n,y,n,n,n,n
,F,60,n,n,n,n,y,n,n,n,n
,F,60,n,n,n,n,y,n,n,n,n
,F,60,n,n,n,n,y,n,n,n,n
,F,60,n,n,n,n,y,n,n,n,n
,F,60,n,n,n,n,y,n,n,n,n
,F,60,n,n,n,n,n,y,n,n,n
,F,60,n,n,n,n,n,n,y,n,n
,F,60,n,n,n,n,n,n,n,y,n
,F,60,n,n,n,n,n,n,n,y,n
,F,60,n,n,n,n,n,n,n,y,n
,F,60,n,n,n,n,n,n,n,y,n
,F,60,n,n,n,n,n,n,n,y,n
,F,60,n,n,n,n,n,n,n,n,y
,F,60,n,n,n,n,n,n,n,n,y
,F,60,n,n,n,n,n,n,n,n,y
,F,60,n,n,n,n,n,n,n,n,y
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,y,n,n,n,n,n,n,n,n
,F,65,n,y,n,n,n,n,n,n,n
,F,65,n,n,y,n,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,y,n,n,n,n,n
,F,65,n,n,n,n,y,n,n,n,n
,F,65,n,n,n,n,y,n,n,n,n
,F,65,n,n,n,n,y,n,n,n,n
,F,65,n,n,n,n,y,n,n,n,n
,F,65,n,n,n,n,y,n,n,n,n
,F,65,n,n,n,n,y,n,n,n,n
,F,65,n,n,n,n,y,n,n,n,n
,F,65,n,n,n,n,y,n,n,n,n
,F,65,n,n,n,n,y,n,n,n,n
,F,65,n,n,n,n,n,y,n,n,n
,F,65,n,n,n,n,n,n,y,n,n
,F,65,n,n,n,n,n,n,n,y,n
,F,65,n,n,n,n,n,n,n,y,n
,F,65,n,n,n,n,n,n,n,y,n
,F,65,n,n,n,n,n,n,n,y,n
,F,65,n,n,n,n,n,n,n,y,n
,F,65,n,n,n,n,n,n,n,n,y
,F,65,n,n,n,n,n,n,n,n,y
,F,65,n,n,n,n,n,n,n,n,y
,M,20,y,n,n,n,n,n,n,n,n
,M,20,y,n,n,n,n,n,n,n,n
,M,20,y,n,n,n,n,n,n,n,n
,M,20,y,n,n,n,n,n,n,n,n
,M,20,y,n,n,n,n,n,n,n,n
,M,20,y,n,n,n,n,n,n,n,n
,M,20,y,n,n,n,n,n,n,n,n
,M,20,y,n,n,n,n,n,n,n,n
,M,20,y,n,n,n,n,n,n,n,n
,M,20,y,n,n,n,n,n,n,n,n
,M,20,y,n,n,n,n,n,n,n,n
,M,20,y,n,n,n,n,n,n,n,n
,M,20,y,n,n,n,n,n,n,n,n
,M,20,y,n,n,n,n,n,n,n,n
,M,20,y,n,n,n,n,n,n,n,n
,M,20,n,y,n,n,n,n,n,n,n
,M,20,n,n,y,n,n,n,n,n,n
,M,20,n,n,y,n,n,n,n,n,n
,M,20,n,n,y,n,n,n,n,n,n
,M,20,n,n,y,n,n,n,n,n,n
,M,20,n,n,n,y,n,n,n,n,n
,M,20,n,n,n,y,n,n,n,n,n
,M,20,n,n,n,y,n,n,n,n,n
,M,20,n,n,n,y,n,n,n,n,n
,M,20,n,n,n,y,n,n,n,n,n
,M,20,n,n,n,y,n,n,n,n,n
,M,20,n,n,n,y,n,n,n,n,n
,M,20,n,n,n,y,n,n,n,n,n
,M,20,n,n,n,y,n,n,n,n,n
,M,20,n,n,n,y,n,n,n,n,n
,M,20,n,n,n,y,n,n,n,n,n
,M,20,n,n,n,y,n,n,n,n,n
,M,20,n,n,n,y,n,n,n,n,n
,M,20,n,n,n,n,y,n,n,n,n
,M,20,n,n,n,n,n,y,n,n,n
,M,20,n,n,n,n,n,y,n,n,n
,M,20,n,n,n,n,n,y,n,n,n
,M,20,n,n,n,n,n,y,n,n,n
,M,20,n,n,n,n,n,y,n,n,n
,M,20,n,n,n,n,n,y,n,n,n
,M,20,n,n,n,n,n,n,y,n,n
,M,20,n,n,n,n,n,n,n,y,n
,M,20,n,n,n,n,n,n,n,y,n
,M,20,n,n,n,n,n,n,n,n,y
,M,20,n,n,n,n,n,n,n,n,y
,M,20,n,n,n,n,n,n,n,n,y
,M,20,n,n,n,n,n,n,n,n,y
,M,25,n,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,y,n,n,n,n,n,n,n,n
,M,25,n,n,y,n,n,n,n,n,n
,M,25,n,n,y,n,n,n,n,n,n
,M,25,n,n,y,n,n,n,n,n,n
,M,25,n,n,y,n,n,n,n,n,n
,M,25,n,n,n,y,n,n,n,n,n
,M,25,n,n,n,y,n,n,n,n,n
,M,25,n,n,n,y,n,n,n,n,n
,M,25,n,n,n,y,n,n,n,n,n
,M,25,n,n,n,y,n,n,n,n,n
,M,25,n,n,n,y,n,n,n,n,n
,M,25,n,n,n,y,n,n,n,n,n
,M,25,n,n,n,y,n,n,n,n,n
,M,25,n,n,n,y,n,n,n,n,n
,M,25,n,n,n,y,n,n,n,n,n
,M,25,n,n,n,y,n,n,n,n,n
,M,25,n,n,n,y,n,n,n,n,n
,M,25,n,n,n,n,y,n,n,n,n
,M,25,n,n,n,n,n,y,n,n,n
,M,25,n,n,n,n,n,y,n,n,n
,M,25,n,n,n,n,n,y,n,n,n
,M,25,n,n,n,n,n,y,n,n,n
,M,25,n,n,n,n,n,y,n,n,n
,M,25,n,n,n,n,n,n,y,n,n
,M,25,n,n,n,n,n,n,n,y,n
,M,25,n,n,n,n,n,n,n,y,n
,M,25,n,n,n,n,n,n,n,n,y
,M,25,n,n,n,n,n,n,n,n,y
,M,25,n,n,n,n,n,n,n,n,y
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,y,n,n,n,n,n,n,n,n
,M,30,n,n,y,n,n,n,n,n,n
,M,30,n,n,y,n,n,n,n,n,n
,M,30,n,n,y,n,n,n,n,n,n
,M,30,n,n,y,n,n,n,n,n,n
,M,30,n,n,y,n,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,y,n,n,n,n,n
,M,30,n,n,n,n,y,n,n,n,n
,M,30,n,n,n,n,n,y,n,n,n
,M,30,n,n,n,n,n,y,n,n,n
,M,30,n,n,n,n,n,y,n,n,n
,M,30,n,n,n,n,n,y,n,n,n
,M,30,n,n,n,n,n,y,n,n,n
,M,30,n,n,n,n,n,n,y,n,n
,M,30,n,n,n,n,n,n,n,y,n
,M,30,n,n,n,n,n,n,n,y,n
,M,30,n,n,n,n,n,n,n,n,y
,M,30,n,n,n,n,n,n,n,n,y
,M,30,n,n,n,n,n,n,n,n,y
,M,30,n,n,n,n,n,n,n,n,y
,M,30,n,n,n,n,n,n,n,n,y
,M,30,n,n,n,n,n,n,n,n,y
,M,30,n,n,n,n,n,n,n,n,y
,M,35,n,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,y,n,n,n,n,n,n,n,n
,M,35,n,n,y,n,n,n,n,n,n
,M,35,n,n,y,n,n,n,n,n,n
,M,35,n,n,y,n,n,n,n,n,n
,M,35,n,n,y,n,n,n,n,n,n
,M,35,n,n,y,n,n,n,n,n,n
,M,35,n,n,y,n,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,y,n,n,n,n,n
,M,35,n,n,n,n,y,n,n,n,n
,M,35,n,n,n,n,y,n,n,n,n
,M,35,n,n,n,n,n,y,n,n,n
,M,35,n,n,n,n,n,y,n,n,n
,M,35,n,n,n,n,n,y,n,n,n
,M,35,n,n,n,n,n,y,n,n,n
,M,35,n,n,n,n,n,y,n,n,n
,M,35,n,n,n,n,n,n,y,n,n
,M,35,n,n,n,n,n,n,n,y,n
,M,35,n,n,n,n,n,n,n,y,n
,M,35,n,n,n,n,n,n,n,n,y
,M,35,n,n,n,n,n,n,n,n,y
,M,35,n,n,n,n,n,n,n,n,y
,M,35,n,n,n,n,n,n,n,n,y
,M,35,n,n,n,n,n,n,n,n,y
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,y,n,n,n,n,n,n,n,n
,M,40,n,n,y,n,n,n,n,n,n
,M,40,n,n,y,n,n,n,n,n,n
,M,40,n,n,y,n,n,n,n,n,n
,M,40,n,n,y,n,n,n,n,n,n
,M,40,n,n,y,n,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,y,n,n,n,n,n
,M,40,n,n,n,n,y,n,n,n,n
,M,40,n,n,n,n,y,n,n,n,n
,M,40,n,n,n,n,n,y,n,n,n
,M,40,n,n,n,n,n,y,n,n,n
,M,40,n,n,n,n,n,y,n,n,n
,M,40,n,n,n,n,n,y,n,n,n
,M,40,n,n,n,n,n,y,n,n,n
,M,40,n,n,n,n,n,n,y,n,n
,M,40,n,n,n,n,n,n,n,y,n
,M,40,n,n,n,n,n,n,n,n,y
,M,40,n,n,n,n,n,n,n,n,y
,M,40,n,n,n,n,n,n,n,n,y
,M,40,n,n,n,n,n,n,n,n,y
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,y,n,n,n,n,n,n,n,n
,M,45,n,y,n,n,n,n,n,n,n
,M,45,n,n,y,n,n,n,n,n,n
,M,45,n,n,y,n,n,n,n,n,n
,M,45,n,n,y,n,n,n,n,n,n
,M,45,n,n,y,n,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,y,n,n,n,n,n
,M,45,n,n,n,n,y,n,n,n,n
,M,45,n,n,n,n,n,y,n,n,n
,M,45,n,n,n,n,n,y,n,n,n
,M,45,n,n,n,n,n,y,n,n,n
,M,45,n,n,n,n,n,y,n,n,n
,M,45,n,n,n,n,n,y,n,n,n
,M,45,n,n,n,n,n,y,n,n,n
,M,45,n,n,n,n,n,n,y,n,n
,M,45,n,n,n,n,n,n,n,y,n
,M,45,n,n,n,n,n,n,n,y,n
,M,45,n,n,n,n,n,n,n,n,y
,M,45,n,n,n,n,n,n,n,n,y
,M,45,n,n,n,n,n,n,n,n,y
,M,50,y,n,n,n,n,n,n,n,n
,M,50,y,n,n,n,n,n,n,n,n
,M,50,y,n,n,n,n,n,n,n,n
,M,50,y,n,n,n,n,n,n,n,n
,M,50,y,n,n,n,n,n,n,n,n
,M,50,y,n,n,n,n,n,n,n,n
,M,50,y,n,n,n,n,n,n,n,n
,M,50,y,n,n,n,n,n,n,n,n
,M,50,y,n,n,n,n,n,n,n,n
,M,50,y,n,n,n,n,n,n,n,n
,M,50,y,n,n,n,n,n,n,n,n
,M,50,y,n,n,n,n,n,n,n,n
,M,50,y,n,n,n,n,n,n,n,n
,M,50,y,n,n,n,n,n,n,n,n
,M,50,n,y,n,n,n,n,n,n,n
,M,50,n,n,y,n,n,n,n,n,n
,M,50,n,n,y,n,n,n,n,n,n
,M,50,n,n,y,n,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
,M,50,n,n,n,y,n,n,n,n,n
